region,address,price,total_area,kitchen_area,living_area,rooms_count,floor,floors_number,build_date,isСomplete,complitation_year,house_material,parking,decoration,balcony,longitude,latitude,passenger_elevator,cargo_elevator,metro,metro_distance,metro_transport,district,is_apartments,is_auction,repair,with_furniture,windows_type
msk,"Москва, Сергея Макеева, 9к3",145000000,146.0,15.0,124.0,4,6,17,empty,empty,empty,monolith,underground,empty,2,37.550064,55.7621,1,empty,Улица 1905 года,12,walk,"Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал B10",24280200,47.0,6.0,25.5,2,2,11,empty,0,2026,monolithBrick,empty,fine,empty,37.3432542460075,55.7906275555436,empty,empty,"Павшино,Строгино","24,27","transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Москва, Большая Спасская улица, 35",69000000,68.0,empty,50.0,3,3,28,2022,empty,empty,empty,empty,empty,empty,37.646911,55.776922,empty,empty,"Площадь трёх вокзалов,Комсомольская,Красные ворота","4,9,12","walk,walk,walk","Красносельский,ЦАО",empty,1,empty,empty,empty
msk,"Москва, Береговой проезд, 2",28347228,78.7,26.2,26.4,2,3,18,empty,0,2024,monolithBrick,empty,without,empty,37.5078063512008,55.7597681819349,22,1,"Народное Ополчение,Фили,Багратионовская","3,4,4","transport,transport,transport","Филевский парк,ЗАО",0,0,empty,empty,empty
msk,"Москва, улица Сергея Макеева, 9к2",86000000,69.0,empty,empty,2,14,17,2017,empty,empty,brick,underground,empty,empty,37.550567,55.761644,1,empty,"Улица 1905 года,Тестовская,Баррикадная","12,4,4","walk,transport,transport","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Арбат, 39",150400000,178.6,empty,empty,2,3,5,empty,1,2019,monolith,underground,rough,empty,37.5895374169819,55.7487617544371,3,empty,"Смоленская,Арбатская","6,12","walk,walk","Арбат,ЦАО",0,0,empty,empty,empty
msk,"Москва, улица Сергея Макеева, 9к3",145000000,146.0,empty,empty,4,6,17,2017,empty,empty,brick,underground,empty,empty,37.550064,55.7621,2,empty,"Улица 1905 года,Деловой центр,Баррикадная","12,4,4","walk,transport,transport","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал В19",37126080,85.94,21.9,32.1,2,2,12,empty,0,2024,monolith,empty,without,empty,37.3438052008762,55.789558187273,empty,empty,"Павшино,Строгино","24,27","transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Москва, 2-ая Звенигородская, 16",107000000,115.0,20.0,64.0,3,2,21,2023,empty,empty,monolithBrick,underground,empty,empty,37.555391,55.763295,2,empty,Улица 1905 года,7,walk,"Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, 1-й Красногвардейский проезд, 21с2",63577280,80.6,empty,49.6,2,59,85,empty,1,2015,monolith,empty,empty,empty,37.5340000330648,55.7496709812864,15,15,"Выставочная,Деловой центр,Международная","1,1,2","walk,walk,walk","Пресненский,ЦАО",1,0,empty,empty,empty
msk,"Москва, Варшавское шоссе, 37Ак1",17000000,35.0,11.3,12.0,1,4,28,empty,0,2025,monolith,underground,rough,empty,37.6260299511,55.6866763197,2,1,"Нагатинская,Верхние котлы,Нагорная","6,11,6","walk,walk,transport","Нагатино-Садовники,ЮАО",0,1,empty,empty,empty
msk,"Москва, Потаповский переулок, 5с4",217970000,120.3,37.0,35.8,2,3,6,empty,0,2025,monolith,underground,empty,1,37.641443038028626,55.761765709459695,1,empty,"Чистые пруды,Тургеневская,Сретенский бульвар","5,6,8","walk,walk,walk","Басманный,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, Мичуринский проспект, 56",45800000,78.0,empty,empty,3,36,52,2020,empty,empty,monolith,underground,empty,empty,37.485664,55.695804,2,2,"Раменки,Мичуринский проспект,Ломоносовский проспект","12,15,6","walk,walk,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, 1-й Красногвардейский проезд, 22с1",66500400,60.4,empty,empty,2,65,66,empty,1,2020,monolith,empty,without,empty,37.533742,55.751138,empty,empty,"Выставочная,Деловой центр,Тестовская","3,3,3","walk,walk,walk","Пресненский,ЦАО",1,0,empty,empty,empty
msk,"Россия, Москва, Трубная улица, 29с4",81000000,116.0,15.0,90.0,3,5,6,1997,empty,empty,brick,empty,empty,2,37.623825,55.771798,1,0,"Цветной бульвар,Трубная,Сухаревская","5,7,8","walk,walk,walk","Мещанский,ЦАО",0,1,empty,empty,empty
msk,"Москва, микрорайон Рублёво-Архангельское, квартал В20",43741396,82.36,22.0,32.9,2,3,13,empty,0,2024,monolithBrick,empty,fine,empty,37.3438008900958,55.7887728612671,empty,empty,"Павшино,Строгино,Строгино","24,27,28","transport,transport,transport",ЗАО,0,0,empty,empty,empty
msk,"Россия, г. Москва, Авиационная ул., д. 79, корп. Б",82000000,189.2,empty,empty,4,6,32,empty,empty,empty,empty,empty,empty,empty,37.448276,55.80826,empty,empty,Щукинская,18,walk,"Щукино,СЗАО",0,1,empty,empty,empty
msk,"Москва, Ильинка",124590000,54.7,20.8,15.5,1,2,5,empty,0,2024,monolith,empty,empty,empty,37.6235092209,55.7552009955,empty,empty,"Площадь Революции,Театральная,Китай-город","3,6,6","walk,walk,walk","Тверской,ЦАО",0,0,empty,empty,empty
msk,"Россия, г. Москва, Чапаевский пер., д. 3",120000000,213.8,empty,empty,4,19,57,empty,empty,empty,empty,empty,empty,empty,37.520671,55.79848,empty,empty,"Аэропорт,Сокол","10,10","walk,walk","Хорошевский,САО",0,1,empty,empty,empty
msk,"Москва, Западный административный округ, район Раменки, жилой комплекс Вест Гарден, к14",36230000,69.0,22.5,24.6,2,7,14,empty,1,2023,monolith,empty,empty,empty,37.4964885610361,55.7150361920507,1,1,"Ломоносовский проспект,Раменки,Минская","2,3,5","transport,transport,transport","Раменки,ЗАО",0,0,empty,empty,empty
msk,"Москва, Ленинградский проспект, 29к3",50000000,85.2,18.8,38.1,3,5,18,2018,empty,empty,monolith,underground,empty,empty,37.561688,55.784217,2,2,"Динамо,Петровский Парк,Белорусская","8,8,17","walk,walk,walk","Беговой,САО",0,1,empty,empty,empty
msk,"Москва, улица Арбат, 24",146715789,121.2,empty,empty,2,8,8,empty,1,2019,monolith,underground,rough,1,37.592285,55.750069,2,empty,"Смоленская,Арбатская","9,10","walk,walk","Арбат,ЦАО",0,0,empty,empty,empty
msk,"Россия, Москва, Осенняя улица, 4к1",29000000,81.1,empty,empty,2,11,15,1986,empty,empty,empty,underground,empty,empty,37.400432,55.758266,empty,empty,"Крылатское,Молодёжная,Кунцевская","7,6,8","walk,transport,transport","Крылатское,ЗАО",0,1,empty,empty,empty
msk,"Москва, Щукинская улица, 3",34068000,66.8,15.3,30.0,2,10,21,empty,1,2023,monolith,underground,without,empty,37.48122200600276,55.80840586470163,1,1,"Щукинская,Октябрьское поле,Сокол","12,4,11","walk,transport,transport","Щукино,СЗАО",0,0,empty,empty,empty
msk,"Москва, улица Гризодубовой, 2",78000000,244.1,empty,empty,4,21,23,2007,empty,empty,panel,underground,empty,2,37.531936,55.782572,3,3,"ЦСКА,Полежаевская,Хорошёвская","7,13,13","walk,walk,walk","Хорошевский,САО",0,1,empty,empty,empty
msk,"Москва, Большой Толмачёвский переулок",133260000,72.6,31.0,14.2,1,2,14,empty,0,2024,monolith,underground,empty,empty,37.6219303055568,55.7396737042422,1,1,"Полянка,Третьяковская,Боровицкая","2,4,6","transport,transport,transport","Якиманка,ЦАО",0,0,empty,empty,empty
msk,"Москва, Зубовская улица, 7",182681200,184.9,12.4,128.3,4,2,6,2023,empty,empty,monolithBrick,underground,empty,empty,37.583365,55.736934,2,empty,"Парк Культуры,Фрунзенская,Киевская","10,16,18","walk,walk,walk","Хамовники,ЦАО",1,1,empty,empty,empty
msk,"Москва, Дубининская улица, 59к7",26166953,37.7,empty,13.0,1,18,41,empty,0,2024,empty,empty,empty,empty,37.6364943993748,55.7173634696842,empty,empty,"Павелецкая,Серпуховская,Добрынинская","17,4,4","walk,transport,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Россия, Москва, улица Врубеля, 4к1",92300000,142.0,empty,empty,4,5,15,2023,empty,empty,monolith,underground,empty,empty,37.502112,55.806272,1,1,"Панфиловская,Сокол,Стрешнево","13,13,17","walk,walk,walk","Сокол,САО",0,1,empty,empty,empty
msk,"Москва, улица Обручева",20286000,41.4,19.4,13.1,2,25,34,empty,0,2025,monolith,empty,without,empty,37.532481299207,55.6589834706462,2,2,"Калужская,Воронцовская,Беляево","8,11,5","walk,walk,transport","Обручевский,ЮЗАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская улица, 8",135000000,150.0,empty,empty,3,8,53,2011,empty,empty,monolith,empty,empty,empty,37.527256,55.723587,3,empty,"Ломоносовский проспект,Минская,Парк Победы","4,4,9","transport,transport,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, проспект Андропова, вл9/1",24066777,42.4,empty,empty,1,4,6,empty,1,2023,monolith,empty,without,empty,37.6681785952449,55.6907455861438,empty,1,"Технопарк,Коломенская,Автозаводская","6,19,4","walk,walk,transport","Нагатинский затон,ЮАО",0,0,empty,empty,empty
msk,"Россия, г. Москва, Трубная ул., д. 29, стр. 4",81000000,115.0,empty,empty,3,5,6,empty,empty,empty,empty,empty,empty,empty,37.623825,55.771798,empty,empty,"Цветной бульвар,Трубная,Сухаревская","5,7,8","walk,walk,walk","Мещанский,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Василисы Кожиной, вл25/1",43991860,71.8,empty,empty,2,8,17,empty,0,2024,monolith,empty,empty,empty,37.4922799384835,55.7339776945285,1,1,"Филёвский парк,Парк Победы,Фили","12,4,4","walk,transport,transport","Филевский парк,ЗАО",1,0,empty,empty,empty
msk,"Россия, Москва, Большой Патриарший переулок, 4",130000000,120.4,47.0,60.0,3,5,5,1913,empty,empty,brick,ground,empty,0,37.591916,55.762449,empty,empty,"Пушкинская,Тверская,Маяковская","11,12,13","walk,walk,walk","Пресненский,ЦАО",0,1,empty,empty,empty
msk,"Москва, Дербеневская улица",21968170,41.9,13.1,15.7,1,4,27,empty,0,2026,monolith,empty,without,empty,37.6449734179683,55.7209805531047,1,2,"Серпуховская,Пролетарская,Павелецкая","20,2,4","walk,transport,transport","Даниловский,ЮАО",0,0,empty,empty,empty
msk,"Москва, Фурманный переулок, д. 8с2",77000000,98.3,10.0,62.0,3,2,8,2007,empty,empty,empty,empty,empty,empty,37.64913,55.764014,empty,empty,"Чистые пруды,Красные ворота","11,11","walk,walk","Басманный,ЦАО",empty,1,empty,empty,empty
msk,"Москва, 1-я улица Бухвостова",25159630,57.31,27.2,13.1,2,4,16,empty,0,2027,monolith,empty,without,empty,37.711369139011246,55.79724014767848,1,1,"Преображенская площадь,Черкизовская,Семёновская","7,4,4","walk,transport,transport","Преображенское,ВАО",0,0,empty,empty,empty
msk,"Россия, г. Москва, Воронцовские пруды ул., д. 3",130000000,280.0,empty,empty,5,21,35,empty,empty,empty,empty,empty,empty,empty,37.536526,55.664096,empty,empty,"Калужская,Новые Черёмушки","12,20","walk,walk","Обручевский,ЮЗАО",0,1,empty,empty,empty
msk,"Москва, Садовая-Сухаревская улица",83958898,98.4,empty,empty,1,7,17,empty,0,2025,monolithBrick,underground,fine,empty,37.6272998048926,55.772690620696,2,1,"Цветной бульвар,Сухаревская,Трубная","8,1,12","walk,transport,walk","Мещанский,ЦАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская улица, 8",78000000,96.0,empty,empty,3,11,53,2012,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,3,1,"Ломоносовский проспект,Тестовская,Тестовская","4,5,6","transport,transport,transport","Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, Подольское шоссе, 3",35867731,63.7,5.4,43.7,2,9,13,empty,0,2024,monolith,underground,empty,empty,37.62448,55.713248,empty,empty,"Тульская,Серпуховская,Шаболовская","8,19,4","walk,walk,transport","Даниловский,ЮАО",1,0,empty,empty,empty
msk,"Россия, г. Москва, Остоженка ул., д. 11/17",304785433,219.4,empty,empty,3,4,6,empty,empty,empty,empty,empty,empty,empty,37.599741,55.741744,empty,empty,"Кропоткинская,Парк Культуры","6,8","walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Электролитный проезд, 12Б",13091520,31.2,empty,empty,1,10,34,empty,0,2026,monolith,empty,without,empty,37.6152154246058,55.6705825395779,3,1,"Нагорная,Нахимовский проспект,Нагатинская","8,4,10","walk,transport,transport","Нагорный,ЮАО",0,0,empty,empty,empty
msk,"Москва, Мосфильмовская, 8",142000000,181.4,20.0,98.0,4,22,33,2011,empty,empty,monolith,underground,empty,empty,37.527256,55.723587,4,empty,Минская,7,transport,"Раменки,ЗАО",0,1,empty,empty,empty
msk,"Москва, Нагатинская улица, к1вл1",29193503,59.22,empty,24.9,2,6,28,empty,0,2025,empty,underground,empty,empty,37.626187,55.682295,empty,empty,"Нагатинская,Верхние котлы,Нагорная","4,16,5","walk,walk,transport","Нагатино-Садовники,ЮАО",0,0,empty,empty,empty
msk,"Россия, Москва, Сидней Сити ЖК, к2/2",37500000,73.2,11.4,33.0,2,13,44,empty,0,2024,monolith,underground,fine,empty,37.504717,55.767656,3,1,"Шелепиха,Беговая","4,6","transport,transport","Хорошево-Мневники,СЗАО",0,1,empty,empty,empty
msk,"Москва, проезд Серебрякова, 11-13к1",24465618,61.2,empty,empty,2,47,53,empty,0,2024,monolithBrick,empty,empty,empty,37.650478,55.848872,9,empty,"Свиблово,Ботанический сад,Ростокино","9,13,4","walk,walk,transport","Свиблово,СВАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",260000000,197.5,empty,empty,5,12,18,2022,empty,empty,monolith,underground,empty,empty,37.570276,55.7256,1,1,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Мичуринский проспект, вл30Б",26400010,43.3,4.1,25.9,2,2,17,empty,0,2024,monolith,empty,empty,empty,37.4988117777703,55.7011942455646,empty,empty,"Раменки,Ломоносовский проспект,Мичуринский проспект","3,14,20","walk,walk,walk","Раменки,ЗАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",114000000,99.7,empty,empty,3,8,18,2022,empty,empty,monolithBrick,underground,empty,empty,37.570276,55.7256,1,1,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, улица Костикова, 4к1",78259545,65.9,24.9,18.8,1,5,21,empty,1,2023,monolith,empty,empty,empty,37.5573009849619,55.7612846731082,empty,empty,"Улица 1905 года,Краснопресненская,Беговая","9,19,2","walk,walk,transport","Пресненский,ЦАО",0,0,empty,empty,empty
msk,"Москва, Усачёва улица, 15А",120000000,99.7,empty,empty,3,9,18,2022,empty,empty,monolithBrick,underground,empty,empty,37.570276,55.7256,empty,empty,"Спортивная,Лужники,Фрунзенская","6,10,11","walk,walk,walk","Хамовники,ЦАО",0,1,empty,empty,empty
msk,"Москва, Северо-Западный административный округ, район Покровское-Стрешнево, жилой комплекс Клубный Город на Реке Примавера, квартал Вивальди",29485060,60.1,13.1,29.0,2,4,10,empty,0,2025,monolith,underground,rough,1,37.424323796043,55.8133603842985,empty,empty,"Спартак,Тушинская","13,5","walk,transport","Покровское-Стрешнево,СЗАО",0,0,empty,empty,empty
